ssn,lat,lng
00000,35.803087,128.691908 
00001,35.807678,128.694104 
00002,35.848011,128.603131 
00003,35.838515,128.650824 
00004,35.851764,128.602126 
00005,35.887684,128.637819 
00006,35.857908,128.629532 
00007,35.801928,128.681634 
00008,35.882701,128.688707 
00009,35.840787,128.604799 
00010,35.811413,128.651112 
00011,35.826725,128.693809 
00012,35.899439,128.626241 
00013,35.867087,128.635343 
00014,35.848800,128.649250 
00015,35.818422,128.635528 
00016,35.812082,128.664322 
00017,35.893822,128.682289 
00018,35.827186,128.665438 
00019,35.845092,128.687713 
00020,35.833945,128.669742 
00021,35.824511,128.615555 
00022,35.827204,128.688197 
00023,35.852465,128.617514 
00024,35.852945,128.600256 
00025,35.836976,128.697909 
00026,35.825444,128.606236 
00027,35.822708,128.666391 
00028,35.842266,128.686177 
00029,35.818636,128.617902 
00030,35.847668,128.646182 
00031,35.840396,128.621343 
00032,35.829013,128.665098 
00033,35.818171,128.630597 
00034,35.897483,128.676603 
00035,35.881784,128.636576 
00036,35.857758,128.650027 
00037,35.863640,128.693190 
00038,35.801318,128.604255 
00039,35.812866,128.660876 
00040,35.886039,128.604645 
00041,35.872063,128.695346 
00042,35.850084,128.698448 
00043,35.885208,128.644391 
00044,35.867287,128.656259 
00045,35.832729,128.692247 
00046,35.854208,128.657172 
00047,35.856826,128.686309 
00048,35.888742,128.631718 
00049,35.813026,128.699773 
00050,35.893938,128.672412 
00051,35.818522,128.686836 
00052,35.885457,128.679464 
00053,35.842750,128.691789 
00054,35.842971,128.629084 
00055,35.821277,128.699248 
00056,35.806999,128.684700 
00057,35.865983,128.686904 
00058,35.811129,128.628693 
00059,35.830968,128.612151 
00060,35.809463,128.605790 
00061,35.856983,128.616257 
00062,35.869624,128.618543 
00063,35.846431,128.679325 
00064,35.827689,128.691123 
00065,35.835178,128.638553 
00066,35.845781,128.613503 
00067,35.832402,128.628133 
00068,35.827092,128.682688 
00069,35.854503,128.674141 
00070,35.866346,128.688738 
00071,35.816622,128.684095 
00072,35.820085,128.687625 
00073,35.839580,128.614167 
00074,35.853968,128.684275 
00075,35.822788,128.659756 
00076,35.835705,128.698907 
00077,35.845504,128.609075 
00078,35.852461,128.689956 
00079,35.879842,128.649375 
00080,35.894229,128.649064 
00081,35.828440,128.608884 
00082,35.889330,128.666200 
00083,35.849116,128.618689 
00084,35.897835,128.662847 
00085,35.887682,128.662346 
00086,35.859144,128.677924 
00087,35.818647,128.617814 
00088,35.862007,128.604385 
00089,35.861027,128.636992 
00090,35.847132,128.639299 
00091,35.877913,128.694335 
00092,35.804666,128.677855 
00093,35.861422,128.605920 
00094,35.803099,128.603401 
00095,35.884314,128.616948 
00096,35.831967,128.625701 
00097,35.823172,128.631901 
00098,35.877600,128.674665 
00099,35.881713,128.694203 
